04/06/2023 07:22:51 AM: [ Total number of labels 3294 ]
04/06/2023 07:22:51 AM: [ Total number of relations 673 ]
04/06/2023 07:22:53 AM: [ loading questions from /home/jaleed/Jaleed/Graphhopper/Graph-Hopper/codes/preprocessing/scenegraphs/val.txt ]
04/06/2023 07:22:55 AM: [ total number of questions: 46533 for val ]
04/06/2023 07:22:55 AM: [ Total number of graphs in index 10298 ]
04/06/2023 07:22:55 AM: [ Total number of graphs found in folder 10298 ]
04/06/2023 07:23:14 AM: [ total graphs 10298 ]
04/06/2023 07:23:14 AM: [ loading questions from /home/jaleed/Jaleed/Graphhopper/Graph-Hopper/codes/preprocessing/scenegraphs/val.txt ]
04/06/2023 07:23:16 AM: [ total number of questions: 46533 for val ]
04/06/2023 07:23:16 AM: [ Total number of graphs in index 10298 ]
04/06/2023 07:23:16 AM: [ Total number of graphs found in folder 10298 ]
04/06/2023 07:23:35 AM: [ total graphs 10298 ]
04/06/2023 07:23:35 AM: [ loading questions from /home/jaleed/Jaleed/Graphhopper/Graph-Hopper/codes/preprocessing/scenegraphs/test.txt ]
04/06/2023 07:23:35 AM: [ total number of questions: 11 for test ]
04/06/2023 07:23:35 AM: [ Total number of graphs in index 2 ]
04/06/2023 07:23:35 AM: [ Total number of graphs found in folder 2 ]
04/06/2023 07:23:35 AM: [ total graphs 2 ]
04/06/2023 07:25:19 AM: [ model saved at /home/jaleed/Jaleed/Graphhopper/Graph-Hopper/output/run/f320_8_0.2_20_0.95/model//model.pth ]
04/06/2023 07:25:19 AM: [ Hits@1:  0.5045 ]
04/06/2023 07:32:05 AM: [ Hits@3:  1.0000 ]
04/06/2023 07:32:05 AM: [ Hits@5:  1.0000 ]
04/06/2023 07:32:05 AM: [ Hits@10:  1.0000 ]
04/06/2023 07:32:05 AM: [ Hits@20:  1.0000 ]
04/06/2023 07:32:05 AM: [ auc:  0.7500 ]
04/06/2023 07:33:47 AM: [ Hits@1:  0.4992 ]
04/06/2023 07:33:47 AM: [ Hits@3:  1.0000 ]
04/06/2023 07:33:47 AM: [ Hits@5:  1.0000 ]
04/06/2023 07:33:47 AM: [ Hits@10:  1.0000 ]
04/06/2023 07:33:47 AM: [ Hits@20:  1.0000 ]
04/06/2023 07:33:47 AM: [ auc:  0.7496 ]
04/06/2023 07:35:27 AM: [ Hits@1:  0.5024 ]
04/06/2023 07:35:27 AM: [ Hits@3:  1.0000 ]
04/06/2023 07:35:27 AM: [ Hits@5:  1.0000 ]
04/06/2023 07:35:27 AM: [ Hits@10:  1.0000 ]
04/06/2023 07:35:27 AM: [ Hits@20:  1.0000 ]
04/06/2023 07:35:27 AM: [ auc:  0.7512 ]
04/06/2023 07:37:07 AM: [ Hits@1:  0.4993 ]
04/06/2023 07:37:07 AM: [ Hits@3:  1.0000 ]
04/06/2023 07:37:07 AM: [ Hits@5:  1.0000 ]
04/06/2023 07:37:07 AM: [ Hits@10:  1.0000 ]
04/06/2023 07:37:07 AM: [ Hits@20:  1.0000 ]
04/06/2023 07:37:07 AM: [ auc:  0.7497 ]
04/06/2023 07:38:47 AM: [ Hits@1:  0.5015 ]
04/06/2023 07:38:47 AM: [ Hits@3:  1.0000 ]
04/06/2023 07:38:47 AM: [ Hits@5:  1.0000 ]
04/06/2023 07:38:47 AM: [ Hits@10:  1.0000 ]
04/06/2023 07:38:47 AM: [ Hits@20:  1.0000 ]
04/06/2023 07:38:47 AM: [ auc:  0.7507 ]
04/06/2023 07:38:49 AM: [ batch_counter:  100, num_hits: 643.0000, avg. reward per batch  0.5023, cls local -1.0000 -1.0000, cls global -1.0000 -1.0000, agent loss -0.2978 ]
04/06/2023 07:38:49 AM: [ Memory usage: 5758324 (kb) ]
04/06/2023 07:40:27 AM: [ Hits@1:  0.5013 ]
04/06/2023 07:40:27 AM: [ Hits@3:  0.9999 ]
04/06/2023 07:40:27 AM: [ Hits@5:  0.9999 ]
04/06/2023 07:40:27 AM: [ Hits@10:  0.9999 ]
04/06/2023 07:40:27 AM: [ Hits@20:  0.9999 ]
04/06/2023 07:40:27 AM: [ auc:  0.7506 ]
04/06/2023 07:40:27 AM: [ Test: Loading model from /home/jaleed/Jaleed/Graphhopper/Graph-Hopper/output/run/f320_8_0.2_20_0.95/model//model.pth ]
04/06/2023 07:40:27 AM: [ load pretrained model from /home/jaleed/Jaleed/Graphhopper/Graph-Hopper/output/run/f320_8_0.2_20_0.95/model//model.pth ]
04/06/2023 07:40:27 AM: [ [ printing paths at /home/jaleed/Jaleed/Graphhopper/Graph-Hopper/output/run/f320_8_0.2_20_0.95/test_beam/ ] ]
04/06/2023 07:40:27 AM: [ Hits@1:  0.2727 ]
04/06/2023 07:40:27 AM: [ Hits@3:  0.9091 ]
04/06/2023 07:40:27 AM: [ Hits@5:  0.9091 ]
04/06/2023 07:40:27 AM: [ Hits@10:  0.9091 ]
04/06/2023 07:40:27 AM: [ Hits@20:  0.9091 ]
04/06/2023 07:40:27 AM: [ auc:  0.5909 ]
